VolcanoID,V_Name,Country,Region,Subregion,Latitude,Longitude,H_active,hazard,class,risk
210010,West Eifel Volcanic Field,Germany,Mediterranean and W Asia,Western Europe,50.17,6.85,0,NULL,U-HR,NULL
210020,Cha?ne des Puys,France,Mediterranean and W Asia,Western Europe,45.7749999999999,2.97,0,NULL,U-HR,NULL
210030,Olot Volcanic Field,Spain,Mediterranean and W Asia,Western Europe,42.17,2.53,0,NULL,U-NHHR,NULL
210040,Calatrava Volcanic Field,Spain,Mediterranean and W Asia,Western Europe,38.8699999999999,-4.02,0,NULL,U-HR,NULL
211001,Larderello,Italy,Mediterranean and W Asia,Italy,43.25,10.8699999999999,0,NULL,U-HR,NULL
211003,Vulsini,Italy,Mediterranean and W Asia,Italy,42.6,11.93,0,NULL,U-HR,NULL
211004,Alban Hills,Italy,Mediterranean and W Asia,Italy,41.7299999999999,12.6999999999999,0,NULL,U-NHHR,NULL
211010,Campi Flegrei,Italy,Mediterranean and W Asia,Italy,40.8269999999999,14.1389999999999,1,3,NULL,3
211020,Vesuvius,Italy,Mediterranean and W Asia,Italy,40.8209999999999,14.426,1,3,NULL,3
211030,Ischia,Italy,Mediterranean and W Asia,Italy,40.7299999999999,13.897,0,NULL,U-HR,NULL
211031,Palinuro,Italy,Mediterranean and W Asia,Italy,39.4799999999999,14.83,0,NULL,U-HR,NULL
211040,Stromboli,Italy,Mediterranean and W Asia,Italy,38.789,15.2129999999999,1,1,NULL,1
211041,Panarea,Italy,Mediterranean and W Asia,Italy,38.63,15.07,0,NULL,U-NHHR,NULL
211042,Lipari,Italy,Mediterranean and W Asia,Italy,38.4799999999999,14.9499999999999,0,NULL,U-HR,NULL
211050,Vulcano,Italy,Mediterranean and W Asia,Italy,38.404,14.962,1,3,NULL,3
211060,Etna,Italy,Mediterranean and W Asia,Italy,37.734,15.004,1,2,NULL,2
211070,Campi Flegrei Mar Sicilia,Italy,Mediterranean and W Asia,Italy,37.1,12.6999999999999,1,1,NULL,2
211071,Pantelleria,Italy,Mediterranean and W Asia,Italy,36.77,12.02,1,NULL,U-HHR,NULL
212020,Methana,Greece,Mediterranean and W Asia,Greece,37.615,23.3359999999999,0,NULL,U-HR,NULL
212030,M?los,Greece,Mediterranean and W Asia,Greece,36.6989999999999,24.439,0,NULL,U-HR,NULL
212040,Santorini,Greece,Mediterranean and W Asia,Greece,36.404,25.396,1,3,NULL,3
212050,Nisyros,Greece,Mediterranean and W Asia,Greece,36.5859999999999,27.16,1,2,NULL,1
212051,Yali,Greece,Mediterranean and W Asia,Greece,36.6709999999999,27.14,0,NULL,U-NHHR,NULL
213000,Kula,Turkey,Mediterranean and W Asia,Turkey,38.5799999999999,28.52,0,NULL,U-NHHR,NULL
213001,Karapinar Field,Turkey,Mediterranean and W Asia,Turkey,37.67,33.6499999999999,0,NULL,U-NHHR,NULL
213002,Hasan Dagi,Turkey,Mediterranean and W Asia,Turkey,38.13,34.17,0,NULL,U-NHHR,NULL
213003,G?ll? Dag,Turkey,Mediterranean and W Asia,Turkey,38.25,34.57,0,NULL,U-NHHR,NULL
213004,Acig?l-Nevsehir,Turkey,Mediterranean and W Asia,Turkey,38.57,34.52,0,NULL,U-HR,NULL
213010,Erciyes Dagi,Turkey,Mediterranean and W Asia,Turkey,38.52,35.4799999999999,0,NULL,U-HR,NULL
213011,Karaca Dag,Turkey,Mediterranean and W Asia,Turkey,37.67,39.8299999999999,0,NULL,U-NHHR,NULL
213020,Nemrut Dagi,Turkey,Mediterranean and W Asia,Turkey,38.6499999999999,42.2299999999999,1,NULL,U-HHR,NULL
213021,S?phan Dagi,Turkey,Mediterranean and W Asia,Turkey,38.92,42.82,0,NULL,U-HR,NULL
213022,Girekol Tepe,Turkey,Mediterranean and W Asia,Turkey,39.192,43.2169999999999,0,NULL,U-NHHR,NULL
213030,Tend?rek Dagi,Turkey,Mediterranean and W Asia,Turkey,39.3699999999999,43.8699999999999,1,NULL,U-HHR,NULL
